category,title,status,file,source_url,bytes,sha256
control,Morphology-Consistent Humanoid Interaction through Robot-Centric Video Synthesis,downloaded,control/Morphology_Consistent_Humanoid_Interaction_through_Robot_Centric_Video_Synthesis.pdf,https://arxiv.org/pdf/2603.19709,38348205,940cb938a207fb1263b0c23bc73ce79d72df6be5c947374558b1a10e275af82a
cad_llm,CAD-Llama: Leveraging Large Language Models for Computer-Aided Design Parametric 3D Model Generation,downloaded,cad_llm/CAD_Llama_Leveraging_Large_Language_Models_for_Computer_Aided_Design_Parametric_3D_Model_Gen.pdf,https://arxiv.org/pdf/2505.04481,16074121,8501651bc6b21ef35a00e5473919174a35fa22ffc03000a901eb6465eec55864
cad_llm,LAM: Language Articulated Object Modelers,downloaded,cad_llm/LAM_Language_Articulated_Object_Modelers.pdf,https://openaccess.thecvf.com/content/CVPR2026/papers/Gao_LAM_Language_Articulated_Object_Modelers_CVPR_2026_paper.pdf,2880521,1120c8d02df83af3f729910d7759ec0053266bb32019d9553d91805dae82844a
cad_llm,CAD-Assistant: Tool-Augmented VLLMs as Generic CAD Task Solvers,downloaded,cad_llm/CAD_Assistant_Tool_Augmented_VLLMs_as_Generic_CAD_Task_Solvers.pdf,https://arxiv.org/pdf/2412.13810,7061988,8cd317dba75f824fb4ea77ee0a8012abbbaeb6c8150aeb2ae70edf79b125b56d
cad_llm,Text-to-CAD Evaluation with CADTests,downloaded,cad_llm/Text_to_CAD_Evaluation_with_CADTests.pdf,https://arxiv.org/pdf/2605.07807,4411354,970cbf1aee809555250f2240ca274bcd2e88359fc07bb079a0a2cf9f62655a83
cad_sketch,DAVINCI: A Single-Stage Architecture for Constrained CAD Sketch Inference,downloaded,cad_sketch/DAVINCI_A_Single_Stage_Architecture_for_Constrained_CAD_Sketch_Inference.pdf,https://arxiv.org/pdf/2410.22857,2028196,60c8f2141e50ffeecc20ce2226971d2b86e12b9ee4a366b5b92958d95c70c827
cad_sketch,PICASSO: A Feed-Forward Framework for Parametric Inference of CAD Sketches via Rendering Self-Supervision,downloaded,cad_sketch/PICASSO_A_Feed_Forward_Framework_for_Parametric_Inference_of_CAD_Sketches_via_Rendering_Self.pdf,https://arxiv.org/pdf/2407.13394,4589966,6d0da6f6c4cc7a1dbe778e55523dcfb906d7ad879705ce50d092cfa4e0f198eb
cad_sketch,MiCADangelo: Fine-Grained Reconstruction of Constrained CAD Models from 3D Scans,downloaded,cad_sketch/MiCADangelo_Fine_Grained_Reconstruction_of_Constrained_CAD_Models_from_3D_Scans.pdf,https://arxiv.org/pdf/2510.23429,11556115,a6aac2b0139a12c503482b6ca549523e071654ad1dff7d9c6b73a0457ff9c300
cad_sketch,CAD-SIGNet: CAD Language Inference from Point Clouds using Layer-wise Sketch Instance Guided Attention,downloaded,cad_sketch/CAD_SIGNet_CAD_Language_Inference_from_Point_Clouds_using_Layer_wise_Sketch_Instance_Guided_.pdf,https://arxiv.org/pdf/2402.17678,34929219,b8c2b5a76b84f011c77cbd84559461105136369c09e95cb68e306dbcf2ae7fa6
cad_sketch,CAD-Recode: Reverse Engineering CAD Code from Point Clouds,downloaded,cad_sketch/CAD_Recode_Reverse_Engineering_CAD_Code_from_Point_Clouds.pdf,https://arxiv.org/pdf/2412.14042,5156778,979e38357c87401dcd71a3b4bca5e57d0ae14eeb9404a93234527d09bcfc0727
cad_sketch,TransCAD: A Hierarchical Transformer for CAD Sequence Inference from Point Clouds,downloaded,cad_sketch/TransCAD_A_Hierarchical_Transformer_for_CAD_Sequence_Inference_from_Point_Clouds.pdf,https://arxiv.org/pdf/2407.12702,25292421,c32009861523487ce975df9a16a81660369b02b141657d4705a629308d46eb32
cad_sketch,DeepCAD: A Deep Generative Network for Computer-Aided Design Models,downloaded,cad_sketch/DeepCAD_A_Deep_Generative_Network_for_Computer_Aided_Design_Models.pdf,https://arxiv.org/pdf/2105.09492,14184982,9d715b7ca3202a7bc098a37a66ec0f71194113051e2c03623aa2184eac967569
cad_sketch,SketchGraphs: A Large-Scale Dataset for Modeling Relational Geometry in Computer-Aided Design,downloaded,cad_sketch/SketchGraphs_A_Large_Scale_Dataset_for_Modeling_Relational_Geometry_in_Computer_Aided_Design.pdf,https://arxiv.org/pdf/2007.08506,1603953,2604b6264d84b3be36b460904754f91985032cdb5be4e5290efdee5e531df2f5
cad_sketch,Free2CAD: Parsing Freehand Drawings into CAD Commands,downloaded,cad_sketch/Free2CAD_Parsing_Freehand_Drawings_into_CAD_Commands.pdf,https://enigma-li.github.io/projects/free2cad/Free2CAD_SIG_2022.pdf,63645857,43038761fbff8ea507d62632c9776df6a797d69b9996b76af5e1fec5731c7ea0
neurosymbolic,Learning to Infer Graphics Programs from Hand-Drawn Images,downloaded,neurosymbolic/Learning_to_Infer_Graphics_Programs_from_Hand_Drawn_Images.pdf,https://arxiv.org/pdf/1707.09627,1805332,dcd29060d57100cc22ffca73e5fb0e6e76e0aab172cfa19fa226128ca420812d
neurosymbolic,CSGNet: Neural Shape Parser for Constructive Solid Geometry,downloaded,neurosymbolic/CSGNet_Neural_Shape_Parser_for_Constructive_Solid_Geometry.pdf,https://arxiv.org/pdf/1712.08290,5061264,ea4b364ae4026ac704437de53a3bb9b633d5d9e2aad03090a798f9949352dd84
neurosymbolic,Synthesizing Programs for Images using Reinforced Adversarial Learning,downloaded,neurosymbolic/Synthesizing_Programs_for_Images_using_Reinforced_Adversarial_Learning.pdf,https://arxiv.org/pdf/1804.01118,2697239,b4a1893233c56790d907844e77bd0c354bb48d9e6a9ceaff31e080fe3f47faaa
neurosymbolic,Deep Vectorization of Technical Drawings,downloaded,neurosymbolic/Deep_Vectorization_of_Technical_Drawings.pdf,https://arxiv.org/pdf/2003.05471,9920052,87aae1839bb9090303c94692dbecfc438d34808d42b5dc139bfbe0f00060018f
neurosymbolic,Neurosymbolic Models for Computer Graphics,downloaded,neurosymbolic/Neurosymbolic_Models_for_Computer_Graphics.pdf,https://arxiv.org/pdf/2304.10320,20867373,46367133306ed943ab0f8b3b3c8a5669befc800016c3bcc940689e3dd24d5197
topology,Topology Optimization via Implicit Neural Representations,unavailable,,https://doi.org/10.1016/j.cma.2023.116052,,
topology,An Implicit Generative Topology Optimization Method Based on Neural Compression and Diffusion Models,unavailable,,https://doi.org/10.1016/j.ast.2026.111850,,
topology,Topology Optimization for Multi-Component Robotic Arms under Time-Varying Loads,downloaded,topology/Topology_Optimization_for_Multi_Component_Robotic_Arms_under_Time_Varying_Loads.pdf,https://link.springer.com/content/pdf/10.1007/s00158-025-04129-1.pdf,3422060,1df2fea31c1fe8b7ecbcb80f1884b1b51e2f74694b0485f708f91f45c0ca48ba
topology,Topology Optimization for Fatigue Reserve Factors,downloaded,topology/Topology_Optimization_for_Fatigue_Reserve_Factors.pdf,https://link.springer.com/content/pdf/10.1007/s00158-024-03849-0.pdf,7373359,3774a55741ca3ce92a89ec547d351b9ba2bd002449b8f5ba338b5597351e6b99
topology,GridapTopOpt.jl: A Scalable Julia Toolbox for Level Set-Based Topology Optimisation,downloaded,topology/GridapTopOpt_jl_A_Scalable_Julia_Toolbox_for_Level_Set_Based_Topology_Optimisation.pdf,https://arxiv.org/pdf/2405.10478,10001776,672c0ffca1c224ef811878f7c26484d27a9b27862d0a5afcd5a38d593ee86331
